06-08-2019 10:29:48.000 +	ZET7156_X (08)	ZET7156_Y (09)	ZET7156_Z (10)	
c	мм/с	мм/с	мм/с	
21,636	0,00186381	-0,00512587	-0,0100061
21,638	0,0101325	-0,0448846	-0,0388474
21,64	0,0149239	-0,00255917	-0,0563638
21,642	-0,0088609	0,0304435	-0,0496192
21,644	-0,0186282	-0,00409809	-0,0678997
21,646	-0,008032	-0,050701	-0,0654691
21,648	0,00957789	-0,0316333	-0,0300097
21,65	0,00540504	0,00648166	-0,0166521
21,652	-0,0112632	0,0133626	-0,0596837
21,654	-0,00427512	-0,0164209	-0,0922419
21,656	0,0119905	-0,0363254	-0,0608361
21,658	-0,002868	0,015698	-0,0226524
21,66	-0,0184783	0,0453922	-0,0189795
21,662	-0,00738921	-0,0257894	-0,0365673
21,664	0,00938769	-0,0531601	-0,0506213
21,666	0,0145135	0,032639	-0,0506886
21,668	-0,00471137	0,0538079	-0,0227749
21,67	-0,00462689	-0,0211582	0,00785618
21,672	0,00646588	-0,0226318	-0,043571
21,674	-0,00515905	0,032458	-0,0655086
21,676	-0,017548	0,0351238	0,00536412
21,678	-0,000844844	-0,00560537	0,0164117
21,68	0,0214923	-0,0155428	-0,0586113
21,682	0,0112395	0,0465699	-0,0532738
21,684	-0,0267843	0,050859	0,011678
21,686	-0,0239684	-0,00326215	-0,0148554
21,688	0,0128996	0,0147026	-0,0680108
21,69	-0,00276833	0,0411589	-0,0352753
21,692	-0,0187944	0,0151804	-0,00492348
21,694	-0,0110074	-0,00389877	-0,0265007
21,696	-0,012138	0,0427145	-0,0478147
21,698	-0,0130307	0,0575368	-0,0418203
21,7	-0,0334055	0,0156934	-0,0531921
21,702	-0,0328009	0,00825584	-0,0449402
21,704	-0,0198318	0,0297205	-0,0227132
21,706	-0,0340362	0,0343902	-0,0305895
21,708	-0,0307115	0,0109897	-0,0373148
21,71	-0,0113653	0,0145659	-0,0475345
21,712	-0,0365616	0,0407761	-0,0631469
21,714	-0,0608997	0,052382	-0,0376256
21,716	-0,049568	0,014947	-0,0121825
21,718	-0,0197629	-0,0212989	-0,0296195
21,72	-0,00472615	0,0216244	-0,043867
21,722	-0,0394202	0,0670797	-0,0249832
21,724	-0,0557645	0,030637	-0,0323219
21,726	-0,0248229	-0,014407	-0,0535663
21,728	-0,0119078	0,0395896	-0,0422922
21,73	-0,0407448	0,0678225	-0,00967547
21,732	-0,049392	-0,0192849	-0,00185998
21,734	-0,0131714	-0,0326366	-0,0475498
21,736	0,00552446	0,0464361	-0,0715323
21,738	-0,0193826	0,0705071	-0,0233694
21,74	-0,0387017	0,00928717	0,00562147
21,742	-0,0239142	-0,0263222	-0,0451122
21,744	0,0116303	0,0270826	-0,0685644
21,746	-0,00933604	0,0474712	-0,00613187
21,748	-0,0388761	0,00914412	-0,0028291
21,75	0,00628912	-0,0211396	-0,047888
21,752	0,0151086	0,0253768	-0,0519279
21,754	-0,027974	0,0626773	-0,028909
21,756	-0,0282039	-0,00600197	-0,0214509
21,758	0,00178574	-0,0517478	-0,0341261
21,76	0,00805941	0,00660888	-0,0397026
21,762	-0,0195855	0,0393555	-0,0301863
21,764	-0,0342714	0,0031391	-0,0151248
21,766	-0,000278411	-0,0240441	-0,0462314
21,768	0,0121795	0,000845393	-0,0677899
21,77	-0,0179566	0,0369474	-0,0287532
21,772	-0,0335354	-0,00892584	-0,00184443
21,774	-0,0047419	-0,0534638	-0,0486265
21,776	0,017584	-0,00174036	-0,0628822
21,778	-0,0206144	0,0445924	-0,02568
21,78	-0,0299038	-0,00651419	-0,0250399
21,782	0,00800886	-0,0329528	-0,0665713
21,784	0,0120027	0,00172765	-0,0577214
21,786	-0,0203195	0,0207185	-0,0256683
21,788	-0,0188393	-0,00945815	-0,0301906
21,79	0,0137543	-0,021896	-0,0501257
21,792	0,0223547	0,0113998	-0,053062
21,794	-0,0225649	0,0280471	-0,0405796
21,796	-0,0161758	0,0149335	-0,0357593
21,798	0,0419245	-0,0119838	-0,0509869
21,8	0,0336389	-0,00157963	-0,0576137
21,802	-0,00705471	0,0214519	-0,00775249
21,804	-0,000850787	0,0226563	-0,00246721
21,806	0,0308884	0,0167137	-0,076498
21,808	0,0220394	0,0121267	-0,0677785
21,81	0,00853221	0,0391982	0,00188499
21,812	0,0187068	0,0319656	-0,0123015
21,814	0,0331065	-0,00345729	-0,0465921
21,816	0,0261856	0,0231654	-0,0343222
21,818	0,0121325	0,0343902	-0,020563
21,82	0,0139667	0,0279876	-0,0403022
21,822	0,0160731	0,0358164	-0,0380223
21,824	0,0108629	0,0410291	-0,0246424
21,826	0,0194137	0,0191991	-0,0307217
21,828	0,0137206	0,00645254	-0,0274357
21,83	0,0262835	0,0347354	-0,0293809
21,832	0,0319625	0,0373438	-0,0365949
21,834	-0,0291201	0,0313315	-0,0436357
21,836	-0,0213337	0,0403229	-0,0301195
21,838	0,0436333	0,030374	-0,0257509
21,84	0,0131656	0,0201098	-0,0363292
21,842	-0,0312522	0,0270449	-0,035583
21,844	0,00618281	0,0204557	-0,036477
21,846	0,0211727	0,018803	-0,0410283
21,848	-0,0264631	0,0533886	-0,0510455
21,85	-0,047595	0,0386947	-0,038328
21,852	0,00805557	-0,0136744	-0,0261733
21,854	0,0283573	0,000121082	-0,0491992
21,856	-0,0223904	0,0436057	-0,0541977
21,858	-0,021431	0,0401483	-0,0188101
21,86	0,0113626	-0,00565386	-0,0342876
21,862	-0,00855116	0,0119025	-0,0840811
21,864	-0,0430312	0,0658979	-0,0384137
21,866	-0,0327541	0,0286787	0,010358
21,868	0,0165834	-0,0435525	-0,0528547
21,87	0,0242795	-0,0184726	-0,0795631
21,872	-0,0118468	0,0618923	-0,00486618
21,874	-0,0267556	0,0441232	0,00693991
21,876	-0,0321846	-0,0115603	-0,089533
21,878	-0,017665	-0,00624294	-0,0804929
21,88	-0,00330511	0,0214475	0,0112352
21,882	-0,0181517	0,0142939	0,00444253
21,884	-0,0193887	-0,0228176	-0,0412549
21,886	0,00681733	-0,00995186	-0,0531522
21,888	-0,00540601	0,0303468	-0,0538454
21,89	-0,0406099	0,0294097	-0,0329404
21,892	-0,0351316	-0,00154439	-0,007145
21,894	-0,0185352	-0,0283496	-0,0357375
21,896	-0,0213157	-0,0132179	-0,054058
21,898	-0,0188291	0,01117	-0,00705867
21,9	-0,0217266	0,00768302	-0,0131215
21,902	-0,0381515	-0,00716103	-0,0733718
21,904	-0,0341047	0,0081884	-0,0583506
21,906	-0,0280298	0,0161312	-0,0175029
21,908	-0,0421949	-0,0223909	-0,0310764
21,91	-0,0426941	-0,0264137	-0,0393765
21,912	-0,0198367	0,000583408	-0,0200733
21,914	-0,0274631	0,00305553	-0,0498032
21,916	-0,0590314	0,0123494	-0,0679921
21,918	-0,0414398	0,0277968	-0,0332258
21,92	0,00082274	-0,00206453	-0,035736
21,922	-0,0306619	-0,041166	-0,0580618
21,924	-0,056985	0,0101281	-0,0236282
21,926	-0,0060995	0,0438597	-0,0154735
21,928	-0,0134426	-0,013296	-0,061664
21,93	-0,0633876	0,00141485	-0,0624207
21,932	-0,0232615	0,0598976	-0,0232238
21,934	0,0156405	0,0244936	-0,0390912
21,936	-0,0405337	-0,0271855	-0,0588891
21,938	-0,044567	0,000168052	-0,0257665
21,94	0,0290011	0,0314142	-0,0147548
21,942	0,00710846	0,0358104	-0,0589985
21,944	-0,0613748	0,0335791	-0,0533558
21,946	-0,0167172	0,0280681	-0,0206408
21,948	0,0278452	0,0143904	-0,0502194
21,95	-0,0146904	0,0202612	-0,0496506
21,952	-0,0118469	0,0358044	0,00923559
21,954	0,019762	0,0189231	-0,0209229
21,956	0,00107431	0,0237765	-0,0931135
21,958	-0,006613	0,0663478	-0,0461026
21,96	0,00218234	0,0422631	0,0128842
21,962	-0,0149941	-0,00491592	-0,0452834
21,964	-0,0136766	0,030343	-0,0772693
21,966	0,0171635	0,0510928	-0,0222647
21,968	0,0107519	0,00231639	-0,0126043
21,97	-0,0164913	0,0197112	-0,0553035
21,972	0,00966529	0,0760273	-0,0548393
21,974	0,0286018	0,0222387	-0,0368598
21,976	-0,0250338	-0,00766738	-0,0545517
21,978	-0,0231692	0,0448441	-0,0418612
21,98	0,0453928	0,031223	-0,00156114
21,982	0,017664	-0,000878138	-0,0338275
21,984	-0,0405675	0,0385115	-0,059891
21,986	0,0231505	0,058456	-0,0419101
21,988	0,0543077	-0,00310995	-0,0415579
21,99	-0,0185282	-0,00133976	-0,0450785
21,992	-0,00622994	0,0491923	-0,00785201
21,994	0,031173	0,0126039	-0,0189145
21,996	-0,00282461	-0,0151966	-0,0669975
21,998	0,000750581	0,0390951	-0,043078
22	0,0421623	0,0488635	-0,0136426
22,002	0,0267893	-0,00781041	-0,0490791
22,004	0,00670658	-0,00734371	-0,0605213
22,006	0,0276186	0,0176055	-0,0246467
22,008	0,0404906	0,000671245	-0,0109825
22,01	0,00411366	0,017146	-0,045161
22,012	0,00637853	0,0403973	-0,0621234
22,014	0,0531664	-0,0055004	-0,0405836
22,016	0,0271432	-0,00595908	-0,0331966
22,018	0,00603233	0,0371857	-0,0445265
22,02	0,0459273	-0,00334002	-0,0363708
22,022	0,0200554	-0,0427987	-0,0436077
22,024	-0,0218456	0,011926	-0,0552798
22,026	0,0262204	0,0498497	-0,0365508
22,028	0,0352091	0,00282935	-0,0365042
22,03	-0,00384594	-0,0365394	-0,0639146
22,032	0,0228592	-0,0157461	-0,0532774
22,034	0,0293655	0,0198579	-0,0172753
22,036	-0,0247641	0,0168422	-0,0328069
22,038	-0,0132544	-0,0192224	-0,0588812
22,04	0,0423385	-0,0194677	-0,0476275
22,042	0,025103	0,0203875	-0,0214397
22,044	-0,0287877	0,0427932	-0,0405775
22,046	-0,0152305	-0,0189985	-0,0532873
22,048	0,0335119	-0,0516436	-0,037277
22,05	0,00400879	0,02205	-0,0339389
22,052	-0,0538559	0,0716731	-0,042382
22,054	-0,0100864	-0,00583093	-0,0291388
22,056	0,0310153	-0,0679432	-0,0469691
22,058	0,0132533	0,0195911	-0,0811757
22,06	-0,00518907	0,0889874	-0,0341701
22,062	-0,0239065	0,0137484	0,000110385
22,064	-0,01516	-0,0533203	-0,0652794
22,066	0,0152842	0,0190389	-0,0830429
22,068	-0,00148312	0,100802	-0,00596287
22,07	-0,0121208	0,0337184	-0,0065604
22,072	0,0190554	-0,0635011	-0,0884977
22,074	0,0207152	0,0124586	-0,0703985
22,076	-0,0115523	0,121692	0,00853553
22,078	-0,0269765	0,0499074	-0,00091473
22,08	-0,0133488	-0,0403493	-0,068522
22,082	-0,00251759	0,0159569	-0,0722576
22,084	-0,00418142	0,0765029	-0,0105356
22,086	-0,0082373	0,0515916	0,00963864
22,088	-0,00904207	0,00654162	-0,0418466
22,09	0,0019579	0,00549309	-0,0672368
22,092	-0,00522036	0,0588025	-0,0447547
22,094	-0,0316559	0,0699868	-0,0087592
22,096	-0,0352441	0,0116641	-0,00428215
22,098	-0,0110832	0,00178441	-0,046417
22,1	0,00362691	0,047256	-0,0701791
22,102	-0,00194181	0,0560889	-0,027753
22,104	-0,0290523	0,0191278	-0,00626481
22,106	-0,0219109	0,0210865	-0,0472023
22,108	-0,00479481	0,051036	-0,0693849
22,11	-0,043683	0,0364768	-0,0416214
22,112	-0,0467122	0,00260624	-0,0186311
22,114	0,00171841	0,0205705	-0,0352591
22,116	-0,00794212	0,0511024	-0,0652526
22,118	-0,0345643	0,00796131	-0,0472455
22,12	-0,00763991	0,0016979	-0,0311752
22,122	-0,0027369	0,0430479	-0,049813
22,124	-0,0321619	0,0321406	-0,0430169
22,126	-0,0278422	0,00584046	-0,0330044
22,128	0,0070897	0,00980498	-0,039698
22,13	0,019315	0,0192952	-0,0365891
22,132	-0,0224709	0,0201077	-0,0312379
22,134	-0,0362836	0,0174635	-0,041254
22,136	0,0196185	0,00660108	-0,0411577
22,138	0,0223649	0,00593972	-0,0330885
22,14	-0,027676	0,0255535	-0,0377111
22,142	-0,00252206	0,00383307	-0,0375793
22,144	0,0389335	-0,0253076	-0,0431547
22,146	0,00481584	0,00827896	-0,0475041
22,148	-0,039597	0,0457763	-0,0304784
22,15	-0,0165922	0,00710242	-0,0222423
22,152	0,0482088	-0,0376189	-0,0593217
22,154	0,0553322	-0,0057143	-0,0788824
22,156	0,00825763	0,0337099	-0,0203214
22,158	0,00409147	0,0161311	-0,0169349
22,16	0,0169638	-0,0381339	-0,0827592
22,162	-0,0168631	-0,00678765	-0,0684102
22,164	-0,0292615	0,0519345	-0,00636252
22,166	0,0145591	-0,0109011	-0,0241761
22,168	0,0581532	-0,0632865	-0,0779
22,17	0,0460063	-0,00326025	-0,0533604
22,172	0,0100913	0,0416457	-0,0244873
22,174	-0,00891916	0,0153197	-0,052863
22,176	-0,0266391	-0,0134379	-0,0762953
22,178	-0,022985	-0,00267057	-0,0316343
22,18	0,00753356	0,0108536	-0,000410911
22,182	0,0308758	-0,0156641	-0,033661
22,184	0,0529014	-0,0288923	-0,0729206
22,186	0,0473958	0,00959769	-0,0639638
22,188	-3,63681e-005	0,0551957	-0,0438728
22,19	-0,0185199	0,0234854	-0,0303335
22,192	-0,00893731	-0,0199903	-0,0358244
22,194	0,0109355	-0,00424538	-0,0326811
22,196	0,019328	0,0307285	-0,0251065
22,198	0,0226966	0,0181822	-0,0309143
22,2	0,0367701	-0,00213876	-0,0491291
22,202	0,0435288	0,0469961	-0,0718381
22,204	0,0110642	0,0668058	-0,0583041
22,206	-0,00818851	-0,00579715	-0,00599751
22,208	0,0193862	-0,0309382	-0,0132537
22,21	0,0277231	0,038742	-0,0582911
22,212	8,79653e-005	0,0746749	-0,0427041
22,214	0,00518447	0,0293061	-0,0130639
22,216	0,051691	0,0282868	-0,0703374
22,218	0,0581439	0,0601731	-0,0961895
22,22	0,0132391	0,0376683	-0,0245047
22,222	-0,0155412	-0,0157129	0,00573538
22,224	0,00335286	-0,00929094	-0,0349088
22,226	0,015463	0,0703774	-0,0474996
22,228	-0,0078814	0,0953323	-0,04353
22,23	0,001695	0,0404757	-0,072199
22,232	0,031153	-0,00739434	-0,0610424
22,234	0,011964	0,01703	-0,00622384
22,236	-0,0174106	0,0502648	-0,00676804
22,238	-0,018063	0,0285091	-0,0469795
22,24	0,00181585	0,00583214	-0,0680299
22,242	0,0135312	0,0275588	-0,0453627
22,244	-0,0223952	0,0800846	-0,0318864
22,246	-0,0420455	0,0620274	-0,0323721
22,248	0,00203659	-0,0348261	-0,0323368
22,25	0,0201858	-0,0285168	-0,0541916
22,252	-0,0226354	0,0608691	-0,0606484
22,254	-0,0214141	0,0569326	-0,0216735
22,256	0,0198477	-0,0127973	-0,0155112
22,258	-0,00329143	-0,00276065	-0,0681049
22,26	-0,0547937	0,0659229	-0,0597766
22,262	-0,0433706	0,0598927	-0,0242943
22,264	0,00562065	-0,0308297	-0,0503099
22,266	0,0142926	-0,0452565	-0,0475155
22,268	-0,00876348	0,0621023	-0,0129929
22,27	-0,00296942	0,046344	-0,0321182
22,272	0,00845297	-0,037791	-0,0882058
22,274	-0,0230593	0,00459423	-0,0805898
22,276	-0,0454959	0,0594681	-0,0202204
22,278	-0,0146366	0,0206323	-0,00934328
22,28	-0,00198427	-0,0355517	-0,0440918
22,282	0,0060682	-0,025838	-0,0530784
22,284	0,0123766	0,0232504	-0,0339751
22,286	-0,0165986	0,0453602	-0,062115
22,288	-0,0199062	0,00662685	-0,0763759
22,29	-0,0221012	-0,0252214	-0,0455987
22,292	-0,0484515	-0,00371718	-0,0013435
22,294	-0,0190311	0,015944	0,0015391
22,296	0,00290315	-0,012637	-0,0505961
22,298	-0,0262678	0,000191142	-0,0996678
22,3	-0,00618578	0,028242	-0,0599996
22,302	-0,00476104	0,0128875	-0,0270848
22,304	-0,0332875	-0,0210213	-0,0292952
22,306	-0,0343321	-0,00348682	-0,0388839
22,308	-0,0216758	0,00473949	-0,0402691
22,31	-0,0238558	-0,0112154	-0,0507582
22,312	-0,0107794	0,0132302	-0,0553068
22,314	-0,00678936	0,0548603	-0,0578205
22,316	-0,00307589	0,0165804	-0,0551378
22,318	-0,0140015	-0,0560794	-0,0203842
22,32	-0,0250443	-0,00464415	-0,0274227
22,322	-0,00694782	0,0504233	-0,0471256
22,324	-0,00203392	0,0401979	-0,0559881
22,326	-0,0133692	0,0092393	-0,0378786
22,328	0,000828255	0,0285539	-0,0388503
22,33	0,0217134	0,0545451	-0,0445485
22,332	-0,0173266	0,011051	-0,0427918
22,334	0,00382705	-0,0309116	-0,0366978
22,336	0,0430687	0,0137023	-0,05519
22,338	0,0122143	0,0839777	-0,0447533
22,34	-0,00156379	0,0791802	-0,0203569
22,342	0,0252119	-0,00832901	-0,0444048
22,344	0,025284	0,012165	-0,0935694
22,346	0,0157278	0,0854639	-0,0550035
22,348	0,00631824	0,0511912	-0,000198495
22,35	0,0204524	-0,0227237	-0,0307146
22,352	0,0468765	0,0162954	-0,0593532
22,354	0,0396337	0,109043	-0,0464546
22,356	0,0125251	0,0690487	-0,0383123
22,358	-0,00881989	-0,00946846	-0,0609551
22,36	0,0286089	0,0281719	-0,0557767
22,362	0,0472463	0,0784443	-0,0207734
22,364	-0,00654459	0,0327762	0,00496485
22,366	-0,00581313	0,00220183	-0,0291573
22,368	0,071917	0,0244065	-0,0844533
22,37	0,0623794	0,0613274	-0,0674552
22,372	-0,0152113	0,0756488	-0,0320284
22,374	-0,00854535	0,0179049	-0,0192647
22,376	0,0446021	-0,0204639	-0,0333745
22,378	0,031419	0,0318756	-0,0168934
22,38	-0,00305638	0,0708284	-0,028863
22,382	0,0241368	0,0198411	-0,0792728
22,384	0,0532094	-0,0103921	-0,0854554
22,386	0,0545106	0,0602055	-0,0416284
22,388	0,00621163	0,0589416	0,00543416
22,39	-0,00747808	0,0104719	-0,023926
22,392	0,0423521	-0,0256627	-0,0794283
22,394	0,0399282	-0,0021453	-0,0848128
22,396	0,00553883	0,0755529	-0,0445175
22,398	0,0277253	0,0500154	-0,0137622
22,4	0,0760943	-0,0137894	-0,0652787
22,402	0,0540301	-0,0262761	-0,0936223
22,404	-0,0115597	0,0288843	-0,0354055
22,406	0,00945103	0,0384171	-0,00683069
22,408	0,0535837	-0,0181423	-0,0474287
22,41	0,0238819	0,0106342	-0,0874596
22,412	-0,0026021	0,0502652	-0,0405441
22,414	0,0382559	0,0162461	-0,0232972
22,416	0,0534527	-0,039677	-0,0587762
22,418	-0,000949355	-0,0199202	-0,0528891
22,42	-0,00696741	0,0355277	-0,0163575
22,422	0,0325534	0,0171603	-0,0382671
22,424	0,00108234	-0,00816685	-0,0804466
22,426	-0,0190016	-0,00852387	-0,0203107
22,428	0,030843	0,0172204	-0,01805
22,43	0,0222408	0,00423541	-0,0871741
22,432	-0,0181488	-0,0209045	-0,0623622
22,434	0,00783442	-0,00892189	0,012209
22,436	0,0126195	0,0151902	-0,036201
22,438	-0,0224949	0,0385503	-0,090888
22,44	-0,0178685	0,000494329	-0,0248617
22,442	-0,000420633	-0,0325567	-0,0379038
22,444	-0,00836477	-0,00603651	-0,0800681
22,446	-0,011348	0,0544185	-0,0350202
22,448	0,0148973	0,0145926	0,0134057
22,45	-0,00894569	-0,0391379	-0,0454294
22,452	-0,0356446	0,0502311	-0,108306
22,454	-0,019029	0,0576798	-0,0602678
22,456	0,0128232	-0,0214609	-0,0128081
22,458	-0,00809658	-0,00206421	-0,027818
22,46	-0,030809	0,0572119	-0,0371535
22,462	0,00509005	0,0298027	-0,0349537
22,464	0,00861292	-0,00465025	-0,0720518
22,466	-0,0191231	0,0306319	-0,0883807
22,468	-0,0149841	0,0525836	-0,00295613
22,47	-0,00934389	0,0467934	0,0121125
22,472	-0,0197646	0,0341293	-0,0786308
22,474	-0,00962552	0,00430902	-0,0729525
22,476	-0,00740916	0,032246	0,00666807
22,478	0,000193864	0,0609663	-0,0163544
22,48	-0,0248913	0,0511986	-0,0791074
22,482	-0,0362909	0,0499403	-0,0642711
22,484	-0,000369034	0,00489782	-0,0124851
22,486	0,0128571	0,0263668	-0,0234941
22,488	-0,0215867	0,0801676	-0,048366
22,49	-0,0332468	0,0385024	-0,034398
22,492	-0,00935087	0,00376994	-0,0600356
22,494	-0,0149219	0,0389868	-0,0774225
22,496	-0,00974371	0,0805824	-0,01742
22,498	-0,0078895	0,0526189	0,00107619
22,5	-0,00849776	0,00228839	-0,0832879
22,502	0,0155027	-0,0114329	-0,083119
22,504	-0,0170454	0,0487302	-0,00867781
22,506	-0,0460063	0,091419	-0,0163813
22,508	0,00409061	0,035738	-0,0554946
22,51	-0,005604	-0,00302265	-0,0745638
22,512	-0,0268323	0,0077894	-0,0613052
22,514	0,0503298	0,0378252	-0,0176637
22,516	0,02536	0,0307809	-0,0116891
22,518	-0,0294423	0,0010677	-0,047417
22,52	0,00917698	0,0163385	-0,0705545
22,522	-0,000297582	0,0686607	-0,0694714
22,524	-0,0157691	0,0289858	-0,0377845
22,526	0,0369361	-0,0470574	0,00102442
22,528	0,0499577	-0,0050105	-0,0445372
22,53	0,0316839	0,0446843	-0,0772412
22,532	0,0163196	0,00356629	-0,0282872
22,534	-0,0167115	-0,00571573	-0,0343441
22,536	0,0192349	0,0209639	-0,0727402
22,538	0,0561207	0,00510842	-0,0367488
22,54	0,0145195	0,000746573	-0,0112079
22,542	0,00968736	-0,0233379	-0,0575839
22,544	0,0572842	-0,0192937	-0,0577984
22,546	0,0453474	0,0306836	-0,0321188
22,548	0,00412289	0,0105899	-0,0514354
22,55	0,0101599	-0,0129693	-0,0721995
22,552	0,0211399	-0,0141162	-0,0593284
22,554	0,0575302	-0,044	-0,0268316
22,556	0,0659764	-0,0205349	-0,0177
22,558	-0,000619402	0,0566939	-0,0596429
22,56	0,00488937	0,0131102	-0,0929291
22,562	0,0400432	-0,0680465	-0,0737196
22,564	0,00960128	-0,00401382	-0,0336813
22,566	0,019902	0,0455763	-0,0106776
22,568	0,0513438	-0,0212729	-0,0332888
22,57	0,0179855	-0,0596426	-0,0836705
22,572	0,00795333	-0,00819368	-0,0765053
22,574	0,0172461	0,0576378	-0,0249498
22,576	0,0122272	0,0497274	-0,00905402
22,578	0,00911749	-0,0466137	-0,0529516
22,58	0,0182158	-0,0510128	-0,0721983
22,582	0,0388075	0,0508772	-0,0435482
22,584	0,0368147	0,0467682	-0,0169476
22,586	0,00840463	-0,0178252	-0,0340835
22,588	0,00284496	0,0154096	-0,0616973
22,59	0,0156017	0,0658029	-0,0714909
22,592	0,00362385	0,0329749	-0,0608488
22,594	0,00346215	-0,0322135	-0,00815528
22,596	0,0375295	-0,0101295	-0,0138628
22,598	0,0419841	0,0737313	-0,078217
22,6	-0,0103912	0,0768066	-0,0705882
22,602	-0,013202	0,0142462	-0,0303064
22,604	0,0207072	0,00437266	-0,0455657
22,606	0,0169142	0,0784522	-0,0508952
22,608	-0,00402482	0,0772203	-0,00639993
22,61	-0,0139609	-0,0125891	-0,0308298
22,612	0,0121069	-0,00684113	-0,0829812
22,614	0,0330576	0,082717	-0,0246313
22,616	-0,00458001	0,11819	0,000287118
22,618	-0,0393593	0,0342494	-0,0648672
22,62	-0,0235198	-0,0210492	-0,0879612
22,622	0,0123821	0,0319274	-0,0135877
22,624	-0,00406339	0,0714743	0,0334737
22,626	-0,043188	0,0629752	-0,0284243
22,628	-0,022918	0,0326785	-0,0869723
22,63	0,0152558	0,0321074	-0,0814337
22,632	-0,0247092	0,0512267	-0,0238478
22,634	-0,0629216	0,0747666	0,00505725
22,636	-0,0109332	0,018283	-0,0193626
22,638	0,0163514	-0,0183649	-0,0692293
22,64	-0,0525376	0,0552678	-0,0816933
22,642	-0,0649535	0,087484	-0,0192806
22,644	0,021055	0,0295748	-0,00134288
22,646	0,00835603	0,0100484	-0,0892377
22,648	-0,0648986	0,0357523	-0,105947
22,65	-0,0413318	0,0345296	0,000626452
22,652	0,0111115	-0,00371735	0,0121276
22,654	-0,0196704	0,0126748	-0,0848377
22,656	-0,0492815	0,079168	-0,0890657
22,658	-0,0260965	0,0379232	-0,0297113
22,66	0,00433787	-0,0275168	-0,053431
22,662	-0,0201502	-0,0210217	-0,0586937
22,664	-0,034088	0,0429383	0,00560624
22,666	0,0074991	0,0312673	-0,0315955
22,668	-0,00529892	-0,030945	-0,0987923
22,67	-0,0352908	0,0131072	-0,0419871
22,672	-0,0166672	0,0546195	0,0133021
22,674	0,00744675	0,0167994	-0,067742
22,676	-0,00702173	-0,0410091	-0,077844
22,678	-0,0301616	-0,0395553	0,00164009
22,68	0,00393133	0,0100915	-0,00605465
22,682	0,0208639	0,0355867	-0,0814599
22,684	-0,00401442	-0,00272005	-0,0696866
22,686	-0,0130997	-0,0454527	-0,024783
22,688	-0,00985082	-0,00533042	-0,04528
22,69	-0,0217694	0,0302378	-0,0554806
22,692	0,0150972	-0,023476	-0,0224626
22,694	0,032276	-0,0611028	-0,0327606
22,696	0,0173578	0,0195401	-0,0748517
22,698	0,0076669	0,06088	-0,0656396
22,7	-0,000681913	-0,0203705	-0,0307139
22,702	0,0035514	-0,0547626	-0,0487794
22,704	0,0104005	0,00926612	-0,0677141
22,706	0,0103572	0,0280056	-0,0311261
22,708	0,0208689	-0,015818	-0,0187908
22,71	0,0471825	-0,0133581	-0,0811123
22,712	0,0385524	0,0240703	-0,0969363
22,714	0,00455295	0,0300161	-0,0276456
22,716	-0,00438686	0,0166432	-0,042075
22,718	0,0327501	-0,00436227	-0,0776879
22,72	0,035138	-0,00270133	-0,0452639
22,722	0,0306337	0,0144154	-0,0180609
22,724	0,0490876	0,0260781	-0,0415225
22,726	0,04351	0,0453774	-0,0697309
22,728	0,0243999	0,0429159	-0,0665082
22,73	0,0381302	0,0218693	-0,0587707
22,732	0,0444908	0,0156038	-0,0299103
22,734	0,0322044	0,0225363	0,014659
22,736	0,0302472	0,046371	-0,00655679
22,738	0,0427081	0,0536103	-0,0720063
22,74	0,0549544	0,0343058	-0,0864842
22,742	0,0474813	0,0489705	-0,0486304
22,744	0,0252052	0,0610756	-0,000559414
22,746	0,0399534	0,0445148	0,001052
22,748	0,0539546	-0,000891685	-0,0621814
22,75	0,0346313	0,0172738	-0,0788332
22,752	0,0388647	0,0809495	-0,0171496
22,754	0,0361829	0,090599	-0,00725655
22,756	0,0311652	0,0504223	-0,0908156
22,758	0,0564305	0,0215056	-0,0895661
22,76	0,0631571	0,0422012	-0,0221623
22,762	0,019876	0,0337982	-0,00371753
22,764	0,00416838	0,0342612	-0,0321438
22,766	0,0371478	0,0709242	-0,077738
22,768	0,0409197	0,0681725	-0,104645
22,77	0,00992276	0,0269886	-0,0559537
22,772	0,00899368	0,0189893	0,0105537
22,774	0,0405117	0,028156	-0,027844
22,776	0,0330153	0,0235221	-0,0795264
22,778	-0,00484781	0,0302829	-0,0572739
22,78	0,0019624	0,0347944	-0,0232856
22,782	0,0374533	0,0364281	-0,035112
22,784	0,00908177	0,0530633	-0,0529142
22,786	-0,0311496	0,0154288	-0,0495969
22,788	0,000881692	-0,0397485	-0,0205652
22,79	0,0229252	-0,008835	-0,00522511
22,792	0,0138904	0,0594132	-0,021383
22,794	0,00550161	0,0463049	-0,0681601
22,796	-0,00338358	-0,0307306	-0,0613697
22,798	0,00279221	-0,0104398	-0,0328802
22,8	-0,0209871	0,0416094	-0,0183819
22,802	-0,0630885	0,0218523	-0,0274044
22,804	0,00401619	-0,0209208	-0,052485
22,806	0,0403222	-0,0393917	-0,08159
22,808	-0,0175967	0,00961688	-0,0411258
22,81	-0,0241528	0,041536	0,00626813
22,812	0,00973171	-0,0069592	-0,0878185
22,814	-0,0028152	-0,0563035	-0,139761
22,816	-0,0624842	-0,0150966	-0,0223944
22,818	-0,0590647	0,0545713	0,0458155
22,82	0,00579317	-0,00483542	-0,0396607
